employee_id,attendance,hours_worked,department,score
1058,89.1,39.5,Sales,73.0
1059,76.8,44.6,Sales,62.4
1060,91.1,38.9,Engineering,78.2
1061,70.6,33.6,Marketing,63.2
1062,59.4,29.1,Sales,42.4
1063,82.0,31.6,Engineering,60.6
1064,95.5,28.8,Marketing,91.9
1065,78.5,46.0,Engineering,55.3
1066,68.2,36.8,Marketing,46.9
1067,65.1,32.8,Marketing,47.6
1068,69.7,31.5,Engineering,52.4
1069,76.0,32.7,Support,57.1
1070,71.2,36.3,Sales,34.0
1071,95.9,31.6,Engineering,91.0
1072,85.9,46.4,Support,51.2
1073,80.0,34.3,Sales,67.4
1074,93.2,34.1,Sales,97.2
1075,89.8,39.5,Sales,87.4
1076,78.0,45.3,Sales,54.7
1077,86.7,44.6,Sales,61.2
1078,83.6,35.6,Marketing,83.0
1079,77.8,39.3,Engineering,62.0
1080,65.8,38.7,Engineering,41.6
1081,85.9,40.6,Engineering,80.4
1082,86.3,39.3,Sales,78.1
1083,89.0,33.3,Engineering,69.4
1084,71.2,31.7,Support,45.5
1085,80.0,38.9,Sales,43.6
1086,79.9,32.1,Engineering,47.0
1087,82.7,44.8,Support,60.1
1088,91.2,38.2,Marketing,83.4
1089,92.7,32.9,Sales,90.4
1090,88.1,36.4,Engineering,74.3
1091,84.8,35.5,Engineering,74.2
1092,77.3,37.3,Sales,79.9
1093,86.3,42.7,Support,59.5
1094,79.3,30.8,Marketing,62.1
1095,76.9,28.7,Sales,45.3
1096,73.6,39.7,Engineering,70.0
1097,100.0,37.1,Sales,99.1
1098,85.7,38.8,Engineering,81.0
1099,76.0,40.2,Marketing,69.1
1100,68.3,37.1,Engineering,64.4
1101,70.5,42.0,Sales,51.7
1102,82.6,33.5,Engineering,75.3
1103,83.0,38.3,Support,62.3
1104,67.8,33.8,Marketing,46.0
1105,85.2,32.4,Engineering,73.1
1106,79.2,41.1,Engineering,46.7
1107,91.9,40.8,Marketing,94.4
1108,76.6,28.3,Sales,63.1
1109,97.1,32.4,Marketing,94.9
1110,78.6,39.5,Engineering,55.6
1111,83.3,43.4,Engineering,66.6
1112,87.1,34.7,Support,77.4
1113,81.7,37.1,Sales,75.9
1114,87.5,30.9,Sales,64.3
1115,75.0,50.6,Sales,45.7
1116,82.1,40.4,Support,72.8
1117,77.6,42.5,Sales,63.1
1118,77.3,41.3,Engineering,54.9
1119,71.0,42.7,Sales,58.2
1120,100.0,41.0,Engineering,74.6
1121,76.0,36.3,Sales,55.2
1122,78.5,41.7,Support,44.0
1123,88.9,38.4,Marketing,76.3
1124,77.7,44.5,Engineering,62.5
1125,82.3,34.3,Engineering,57.2
1126,92.5,35.3,Engineering,74.6
1127,82.0,41.3,Support,63.5
1128,81.5,44.4,Sales,70.4
1129,78.1,38.7,Support,75.4
1130,87.4,34.4,Marketing,67.0
1131,70.9,37.4,Support,51.4
1132,65.8,35.5,Engineering,65.0
1133,65.9,47.5,Marketing,56.5
1134,81.0,42.5,Engineering,71.3
1135,73.0,44.3,Sales,51.7
1136,61.2,39.5,Sales,32.7
1137,83.2,35.2,Engineering,69.7
1138,61.1,43.9,Engineering,47.0
1139,53.8,46.3,Marketing,37.6
1140,88.2,40.9,Support,68.2
1141,75.4,37.9,Sales,51.8
1142,84.8,43.4,Engineering,77.2
1143,81.1,36.1,Support,70.1
1144,64.0,41.8,Engineering,43.2
1145,65.5,34.4,Sales,49.6
1146,80.0,33.1,Marketing,55.1
1147,86.5,40.8,Engineering,65.6
1148,71.8,39.7,Engineering,55.3
1149,85.6,47.5,Engineering,67.1
1150,61.6,36.6,Engineering,25.2
